question,answer,contexts,ground_truth,bleu_score,rouge1_score,rouge2_score,rougeL_score
What is the benefit of Section 9: Protected No Claim Discount?,"The benefit of Section 9: Protected No Claim Discount is that it allows you to protect your No Claim Discount (NCD) even if you make a claim, as long as you make no more than two claims in three years. Here's a summary of how Protected NCD works:

* Protected NCD is an optional extra for Third Party, Fire and Theft Essentials, Comprehensive, and Comprehensive Plus policies.
* To be eligible for Protected NCD, you must have a minimum of four years' worth of NCD.
* Protected NCD means that you can make up to two claims in three years of insurance in a row without affecting your NCD on this policy.
* Protected NCD does not guarantee your premium - it may still increase if a claim is made.
* NCD proof is required if you claim to have earned an NCD, and it will be issued in the name of the NCD owner.
* You can protect your NCD by paying an additional premium once you have accumulated a minimum of four years' worth of NCD.

In summary, the main benefit of Section 9: Protected No Claim Discount is that it allows you to maintain your No Claim Discount even if you make a claim, as long as you make no more than two claims in three years. This can help you save money on your car insurance premiums in the long run.","No Claim Discount (NCD)
If you don’t claim on your policy, we’ll adjust 
your renewal premium in line with the NCD scale that we’re using at the time you renew.
However, if you claim on your policy, we may 
reduce the NCD on this policy.
NCD at start 
of period of insuranceNCD at your next renewal
1 
claim2 
claims3+ 
claims
2 years or less Nil Nil Nil
3 years 1 
yearNil Nil
4 years 2 
yearsNil Nil
5 years or more 3 
years1
yearNil
>You may be able to protect the NCD on this policy by paying an extra premium – see ‘Section 9: Protected No Claim Discount’ on page 30.
>If NCD proof is requested, it will be issued in the name of the NCD owner.Sending us proof of your No Claim Discount (NCD)
If you tell us that you have earned an NCD, we 
may ask to see proof of this. We’ll let you know when you set up your policy.
If you can’t send us acceptable proof, we will remove the NCD years from your policy. If we Page 30
About Protected No Claim Discount
The NCD owner will keep their No Claim 
Discount (NCD) if you make a claim, unless you make more than 2 claims in 3 years. 
Protected NCD doesn’t guarantee your 
premium – this may still increase if a claim is made.
This cover an optional extra for: 
Third Party, Fire and Theft
Essentials
Comprehensive
Comprehensive Plus
Check your car insurance details to see if this cover is included.How it works
Once the NCD owner has a minimum of four 
years’ worth of NCD, you may be able to protect it by paying an additional premium. We’ll let you know when you’re able to do this. 
Protected NCD means that you can make up 
to 2 claims in 3 years of insurance in a row, and this won’t affect the NCD on this policy.
For more information, including a table showing what happens to the NCD on this policy if you 
claim, please see your car insurance details. Section 9: Protected No Claim Discount",Section 9: Protected No Claim Discount allows you to make a certain number of claims without affecting your no-claims discount.,0.031373734393456,0.152,0.10483870967741934,0.152
What driving locations are covered under this insurance policy?,"Based on the context provided, the car insurance policy covers driving within the territorial limits, which typically includes the United Kingdom. However, if you have Guaranteed Hire Car Plus and are provided with a hire car, this policy does not provide cover to drive outside the territorial limits. You should check with the hire car company to see if you are covered by their insurance.

Additionally, if you have the minimum cover for foreign use, your policy covers driving in any country which is a member of the European Union, but you should note that the coverage is limited to the minimum car insurance required by law in those countries.

Therefore, if you plan to drive outside of the United Kingdom, it is important to check if you have the appropriate coverage and whether you need to purchase additional coverage or extensions to your policy.","Information relating to your policy will be 
added to the Motor Insurance Database (MID) managed by the Motor Insurers’ Bureau (MIB). The MID and the data stored on it may be used by certain statutory and/or authorised bodies including the police, the DVLA, the DVANI, the Insurance Fraud Bureau and other bodies permitted by law for purposes not limited to but including: 
>Electronic Licensing (Tax Discs). 
>Continuous Insurance Enforcement. 
>Law enforcement (prevention, detection, 
apprehension and/or prosecution of offenders).
>The provision of government services and/or other services aimed at reducing the level and incidence of uninsured driving. rest of Europe
8If your cover includes Motor Legal Cover, this 
part of your cover doesn’t apply outside the territorial limits, apart from for road traffic accident claims. 
8If anyone is driving a car other than your car.
8If you have a courtesy car, it cannot be used 
outside the territorial limits.
8If you have Guaranteed Hire Car Plus, and you have been provided with a hire car, this policy doesn’t give you cover to drive outside 
the territorial limits. Please check with the 
company that we instruct to give you the hire car to see if you are covered by their insurance.Countries where you have 
minimum cover
If you do not have Foreign Use Extension, or if it 
has been used up, your car insurance only gives you the minimum car insurance required by law for the countries listed below:
>Any country which is a member of the 
European Union.","The policy covers driving within the geographical limits specified in the policy booklet. This typically includes driving within the UK and may extend to certain European countries, subject to the terms and conditions outlined in the policy.",0.0365419509085276,0.27472527472527475,0.06666666666666667,0.1978021978021978
What types of losses are not covered by this insurance policy?,"Based on the context provided, here are some types of losses that are not covered by the insurance policy:

1. Mechanical or electrical failure.
2. Wear and tear.
3. Damage to tyres caused by braking, punctures, cuts, or bursts.
4. Breakdowns (unless the policy includes Green Flag breakdown).
5. Loss or damage caused directly or indirectly by a deliberate act by any person insured on the policy.
6. Indirect losses suffered because of an incident, such as losing the use of the car, travel costs, or loss of earnings.
7. Loss or damage to any trailer or vehicle that the car is towing or contents of a trailer or vehicle on tow.
8. Any other losses that are not specifically mentioned in the policy and are listed in 'Losses we don’t cover' on page 33.

It's important to review the policy documents carefully to understand what is and isn't covered by the insurance policy. If you have any questions or concerns, you should contact the insurance provider directly for clarification.","the car.
>With the engine running.
>With a window or roof open.
What’s not included in my cover?
We don’t cover things like:
>Mechanical or electrical failure.
>Wear and tear.
>Damage to tyres caused by braking, punctures, cuts or bursts.
>Breakdowns (if your policy includes 
Green Flag breakdown, this may cover getting 
your car  going again).
We won’t provide cover if your car is being used:
>By someone who’s not insured on the policy.
>By someone who’s disqualified from driving.
>For a purpose that’s not allowed on the policy
(as shown on your certificate of motor insurance).
You can find full details of what’s not covered by the policy in each cover section, and in ‘Losses 
we don’t cover’ on page 33.
Does Churchill have approved repairers? 
Churchill customers have access to a national 
network of approved repairers. If 
your car  is 
repaired by one of these, they’ll deal with all aspects of your repair. What is DriveSure?
DriveSure is our telematics insurance product. Deliberate damage
 8We won’t cover any loss, damage, liability or injury caused directly or indirectly by a deliberate act by any person insured on  
the policy.
Loss of use
 8We won’t cover any indirect losses suffered because of an incident, unless we’ve stated otherwise elsewhere in this policy. For 
example, we won’t cover:
• Losing the use of your car.
• Travel costs.
• Loss of earnings.
Towing
 8We won’t cover any loss or damage to any trailer or vehicle that your car is towing, or 
any contents of a trailer or vehicle on tow. Losses we don’t cover","The policy does not cover losses such as wear and tear, mechanical or electrical breakdown, damage caused by using the car for unlawful purposes, and any loss or damage if the driver does not have a valid driving license. Detailed exclusions are listed in the 'Losses we don't cover' section.",0.013889607358627749,0.35714285714285715,0.1711711711711712,0.24107142857142858
What should you do if you have a complaint about the insurance policy?,"Based on the context provided, if you have a complaint about the insurance policy, you can contact the insurance company to make a complaint. The company aims to be fair and reasonable and to act quickly to deal with any complaints. Here are the steps you can take if you have a complaint:

1. Contact the insurance company: You can contact the insurance company by phone, email, or mail to make a complaint. It's best to provide all the details of your complaint, including your policy number and the date of the incident.
2. Follow the company's complaint procedure: The insurance company will have a complaint procedure that you can follow. This may involve speaking to a representative or filling out a complaint form.
3. Allow the company to investigate your complaint: Once you have made a complaint, the insurance company will investigate your complaint and try to resolve it as quickly as possible.
4. Contact the Financial Ombudsman Service: If you are not satisfied with the outcome of your complaint, you can contact the Financial Ombudsman Service. This is an independent body that can help to resolve disputes between customers and financial companies.

It's important to note that if you make a fraudulent, false, or exaggerated claim, the insurance company may cancel your policy, reject your claim, and keep any premium you have paid. The company also has the right to cancel any other products you hold with U K Insurance Limited, share information about your behavior with other organizations to prevent further fraud, and involve the relevant authorities who can bring criminal proceedings.","Page 41Everything else
Everything else
Our contract with you
We aim to always be fair and reasonable and to 
act quickly whenever you need to make a claim under this policy. If you feel we haven’t met this, 
we’ll try to do everything possible to deal with your complaint quickly and fairly.
This policy is evidence of the contract between 
you and us, U K Insurance Limited, and is based 
on information you’ve given to us.
In return for receiving and accepting the 
premium, we’ll provide insurance under this policy for the sections shown on your car 
insurance details. 
The laws that apply to this contract You and we 
may choose which law will apply to this policy. If you don’t provide correct and complete 
information or inform us of any changes, this could invalidate your policy or mean we don’t 
pay claims in full or at all.Fraud
You must be honest in your dealings with us at 
all times.
We won’t pay a claim that is in any way 
fraudulent, false or exaggerated. 
If you, any person insured under this policy, 
or anyone acting on your behalf attempts to 
deceive us, or knowingly makes a fraudulent, false or exaggerated claim, we may:
>Cancel your policy.
>Reject your claim and any following claims.
>Keep any premium you have paid.
What happens if we discover fraud
If we discover fraud, we have the right to:
>Cancel any other products you hold with 
U K Insurance Limited.
>Cancel this policy, if the fraud happened 
under any other policy you hold with U K Insurance Limited. 
>Share information about your behaviour with other organisations to prevent further fraud. 
We may also involve the relevant authorities who can bring criminal proceedings.","If you have a complaint, you should contact the insurance provider's customer service department. Provide details of your complaint and any relevant information. The insurer will investigate and respond to your complaint in accordance with their complaints handling process, aiming to resolve it satisfactorily.",0.014071446404955883,0.23003194888178913,0.10932475884244375,0.17252396166134185
What is the purpose of the 'Glossary' in the policy document?,"Based on the context provided, the Glossary in the policy document serves to provide the exact meanings of some of the words and phrases that are used in bold type throughout the document. These words and phrases have a specific meaning within the context of the policy, and the Glossary is intended to help policyholders understand the terms and conditions of their insurance coverage.

By providing definitions for key terms, the Glossary helps to ensure that policyholders have a clear understanding of what is covered by their insurance policy and what is not. This can help to avoid confusion or misunderstandings in the event of a claim, and can help policyholders to make informed decisions about their insurance coverage.

Overall, the Glossary is an important resource for policyholders to consult when reviewing their insurance policy, as it can help to ensure that they fully understand the terms and conditions of their coverage.","of motor insurance.
If the policy includes Green Flag breakdown cover:
 >Your breakdown cover and your car 
insurance are part of the same policy.
 >The policy also includes the Green Flag 
policy booklet we’ve given you.
If you have a policy that includes DriveSure:
 >The policy also includes the DriveSure terms 
and conditions we’ve given you.
Please read all these documents carefully  and keep them safe in case you need them.Words in bold type
Some of the words and phrases we use in 
this booklet have a specific meaning – for example, your car or modifications.
We’ve highlighted these words using bold type. You can find the exact meanings of  these words in the ‘Glossary’ on page 4,  or at the start of each section.
Comprehensive with DriveSure
If you have a Comprehensive with  
DriveSure policy: 
 >Your cover is the same as a  Comprehensive policy. 
 >Wherever Comprehensive is  mentioned in this policy booklet,  this also applies to you. Information relating to your policy will be 
added to the Motor Insurance Database (MID) managed by the Motor Insurers’ Bureau (MIB). The MID and the data stored on it may be used by certain statutory and/or authorised bodies including the police, the DVLA, the DVANI, the Insurance Fraud Bureau and other bodies permitted by law for purposes not limited to but including: 
>Electronic Licensing (Tax Discs). 
>Continuous Insurance Enforcement. 
>Law enforcement (prevention, detection, 
apprehension and/or prosecution of offenders).
>The provision of government services and/or other services aimed at reducing the level and incidence of uninsured driving.","The 'Glossary' section provides definitions for specific terms and phrases used throughout the policy document. This helps you understand the exact meanings of these terms, ensuring clarity and avoiding misunderstandings.",0.028943504157810537,0.2967032967032967,0.13333333333333333,0.1978021978021978
How does the policy handle modifications to your car?,"Based on the context provided, the policy requires policyholders to inform the insurance company of any modifications they wish to make to their car and obtain the company's agreement beforehand. Modifications are defined as changes to the car's standard specification, including optional extras, and can include changes to the appearance or performance of the car, such as wheels, suspension, bodywork, engine, and software features.

If a policyholder fails to provide correct and complete information about modifications or any other changes to the car or policy details, it could invalidate the policy or mean that the insurance company may not pay claims in full or at all.

Therefore, it is important for policyholders to be transparent and upfront about any modifications they have made or plan to make to their car, as this can help ensure that they have the appropriate coverage in place and avoid any issues in the event of a claim. If a policyholder is unsure whether a particular modification is allowed or requires prior approval, they should contact the insurance company for clarification. 

In summary, the policy handles modifications to the car by requiring policyholders to obtain the insurance company's agreement before making any changes to the car's standard specification, and by requiring policyholders to provide accurate and complete information about any modifications or changes to the car or policy details. Failure to do so could result in the policy being invalidated or claims not being paid in full or at all.",">Make sure your car is roadworthy.
>Take all reasonable steps to protect your car
and its contents from loss or damage.
>Make sure any property left in an open or 
convertible car is in a locked boot or locked glove compartment.
>Allow us to examine your car at any 
reasonable time if we ask you.
Modifications to your car
Modifications are changes to your car’s 
standard specification, including optional 
extras.
If you wish to modify your car, you must tell us 
what modifications you want to make, and we 
must agree to them beforehand. Modifications include changes to the 
appearance or the performance of your car, 
including wheels, suspension, bodywork, engine and any additional software features (excluding those provided free as software updates by the manufacturer). This is not a complete list. 
If you don’t provide correct and complete 
information or inform us of any changes, this could invalidate your policy or mean we don’t 
pay claims in full or at all.Fraud After your cover starts
You must tell us as soon as possible if:
>You change the address where your car is 
normally kept overnight.
>Anyone covered by the policy changes their 
occupation.
>Anyone covered by the policy passes their 
driving test.
>Any contact details change, for example, 
your email address.
>Any other policyholder details change. 
You can see the details we have on your car insurance details.
These changes may mean we need to increase or reduce the premium, or in some cases cancel your policy.
Page 37How the policy works
How the policy works",Modifications to your car should be reported to the insurer. The policy may not cover damage or incidents resulting from unreported modifications. Always check your policy for specific terms regarding modifications.,0.0029325737946845794,0.13571428571428573,0.03597122302158273,0.09999999999999999
What does the term 'Comprehensive with DriveSure' mean?,"Based on the context provided, ""Comprehensive with DriveSure"" refers to a type of motor insurance policy that includes both comprehensive car insurance coverage and the DriveSure program.

Comprehensive car insurance typically provides coverage for damage to the policyholder's own vehicle as well as third-party liability coverage, which covers damage to other people's property or bodily injury.

DriveSure is a program that includes additional features and benefits, such as driving behavior monitoring and feedback, rewards for safe driving, and access to legal services if needed.

Therefore, ""Comprehensive with DriveSure"" means a policy that provides comprehensive car insurance coverage, as well as the additional features and benefits of the DriveSure program. It's important to note that the specific coverage and benefits may vary depending on the policy and insurance provider.","of motor insurance.
If the policy includes Green Flag breakdown cover:
 >Your breakdown cover and your car 
insurance are part of the same policy.
 >The policy also includes the Green Flag 
policy booklet we’ve given you.
If you have a policy that includes DriveSure:
 >The policy also includes the DriveSure terms 
and conditions we’ve given you.
Please read all these documents carefully  and keep them safe in case you need them.Words in bold type
Some of the words and phrases we use in 
this booklet have a specific meaning – for example, your car or modifications.
We’ve highlighted these words using bold type. You can find the exact meanings of  these words in the ‘Glossary’ on page 4,  or at the start of each section.
Comprehensive with DriveSure
If you have a Comprehensive with  
DriveSure policy: 
 >Your cover is the same as a  Comprehensive policy. 
 >Wherever Comprehensive is  mentioned in this policy booklet,  this also applies to you. Page 23Section 7: Motor Legal Cover
About Motor Legal Cover
We’ll cover your Costs if you need to take 
legal action or defend yourself in court. We will only provide this cover if your claim has a reasonable chance of succeeding for the duration of the claim.
This cover is included with: 
Comprehensive Plus
It’s an optional extra for:
Third Party, Fire and Theft
Essentials
Comprehensive
Check your car insurance details to see if this cover is included.
Words with a specific meaning 
When we use these words or terms in this section they have these specific meanings (unless we say differently).
Abroad Anywhere outside of the territorial 
limits, restricted to the Republic of Ireland 
and countries listed in ‘Where you can drive’ on page 31. 
Appointed representative The preferred law 
firm, solicitor, or other suitably qualified person 
that we appoint to represent you under this section of the policy.
Costs Legal costs, including:","The term 'Comprehensive with DriveSure' means that your policy includes all the benefits of a Comprehensive policy, along with additional features and services provided under the DriveSure program.",0.016283380229034475,0.2875,0.10126582278481013,0.2
What should you do immediately after an accident?,"Based on the context provided, here are the steps you should take immediately after an accident:

1. Safety comes first - stop at the scene of the accident, and if there are any injuries or if any driver involved hasn't stopped, call the police and emergency services.
2. Take photos of the accident if it's safe to do so, including any vehicles involved. Dash cam footage could also be useful.
3. Other driver/vehicle details - ask the other party for their contact details, take down their vehicle registration, name, address, and telephone number, and give the third party your details. Don't accept blame for the accident.
4. Witnesses - if any passers-by have stopped, ask for their contact details. These may be needed later for a statement if blame is being disputed.
5. Call your insurance company as soon as possible. Giving them a call means you'll have the details fresh in your mind, and they can help you and the third party sooner, getting you back on the road as quickly as possible.

Additionally, if your complaint relates to Section 7: Motor Legal Cover, you can refer your complaint to arbitration instead of going to the Financial Ombudsman Service. The arbitrator will be a solicitor or barrister or other suitably qualified person that you and the insurance company agree on. If you and the insurance company cannot agree, then you'll ask the Chartered Institute of Arbitrators to decide. The arbitrator's decision will be final, and whoever doesn't win will have to pay all costs and expenses.","1
Safety comes first
Stop at the scene of the accident and if there 
are any injuries or if any driver involved hasn’t stopped, call the police and emergency services. 
2
Take photos of the accident if it’s safe to do so, including any vehicles involved
Remember that dash cam footage could be 
useful too.
3
Other driver/vehicle details
Ask the other party for their contact details. 
Take down their vehicle registration, name, address and telephone number and give the third party yours. Don’t accept blame for the accident. 
4
Witnesses
If any passers-by have stopped, you can ask 
for their contact details. These may be needed later for a statement if blame is being disputed. 
5
Call us
Giving us a call as soon as possible means 
you’ll have the details fresh in your mind and means we can help you and the third party sooner, get you back on the road as quickly as possible. 
Page 43If you’re in an accident information: www.financial-ombudsman.org.uk
If your complaint is to do with your 
Motor Legal Cover
If your complaint relates to Section 7: Motor 
Legal Cover, you can refer your complaint to arbitration instead (where an independent person, known as an arbitrator, makes a decision to settle the dispute). The arbitrator will be a solicitor or barrister or other suitably qualified person that you and we agree on. If you and we cannot agree, then we’ll ask the Chartered Institute of Arbitrators to decide. The arbitrator’s decision will be final, and whoever doesn’t win will have to pay all costs and expenses.We’re here to support you when 
accidents happen, so we’ve put together some useful steps for you to follow to help make the process smoother.
1
Safety comes first
Stop at the scene of the accident and if there 
are any injuries or if any driver involved hasn’t stopped, call the police and emergency services. 
2","Immediately after an accident, ensure everyone's safety and move to a safe location if possible. Exchange contact and insurance details with other parties involved, and contact your insurer to report the incident.",0.002584054409195247,0.1689189189189189,0.034013605442176874,0.11486486486486486
What are the benefits of having DriveSure included in your policy?,"Based on the context provided, having DriveSure included in your car insurance policy provides the following benefits:

1. Driving behavior monitoring and feedback: DriveSure provides a device or mobile app that monitors your driving behavior, such as speed, acceleration, braking, and cornering. You can review your driving data and receive feedback on how to improve your driving and reduce your risk of accidents.
2. Safe driving rewards: DriveSure rewards safe driving by offering discounts, rewards, or cashback on your car insurance premium or other benefits. The safer you drive, the more you can save.
3. Access to legal services: DriveSure includes motor legal cover, which provides legal advice, representation, and compensation if you're involved in a car accident that's not your fault. The legal cover includes uninsured driver protection, personal injury compensation, and legal expenses for pursuing claims for damages or compensation.
4. Convenience and simplicity: Having DriveSure included in your car insurance policy means you have all your coverage and benefits in one place. You don't need to deal with multiple policies, providers, or terms and conditions.

Therefore, having DriveSure included in your car insurance policy can help you become a safer driver, save money on your premium, and receive legal protection and rewards for your safe driving. It's important to read the DriveSure terms and conditions carefully to understand the specific benefits and requirements of the program.","Other conditions you need to know about
Following the policy terms
We’ll only provide the cover set out in this policy
if you keep to all the terms of the policy.
This includes Guaranteed Hire Car Plus or Motor 
Legal Cover if you have these covers.
Providing accurate information
You must ensure that all information given 
to us is correct and complete to the best of your knowledge at all times. This includes information about all drivers under the policy
or modifications to your car.
If you don’t provide correct and complete information or inform us of any changes, this could invalidate your policy, increase 
your premium or mean we don’t pay claims in full or at all. 
Taking care of your car
You and any person who is covered by this 
policy must do all of the following:
>Make sure your car is roadworthy.
>Take all reasonable steps to protect your car
and its contents from loss or damage.
>Make sure any property left in an open or of motor insurance.
If the policy includes Green Flag breakdown cover:
 >Your breakdown cover and your car 
insurance are part of the same policy.
 >The policy also includes the Green Flag 
policy booklet we’ve given you.
If you have a policy that includes DriveSure:
 >The policy also includes the DriveSure terms 
and conditions we’ve given you.
Please read all these documents carefully  and keep them safe in case you need them.Words in bold type
Some of the words and phrases we use in 
this booklet have a specific meaning – for example, your car or modifications.
We’ve highlighted these words using bold type. You can find the exact meanings of  these words in the ‘Glossary’ on page 4,  or at the start of each section.
Comprehensive with DriveSure
If you have a Comprehensive with  
DriveSure policy: 
 >Your cover is the same as a  Comprehensive policy. 
 >Wherever Comprehensive is  mentioned in this policy booklet,  this also applies to you.","DriveSure provides additional benefits such as regular vehicle health checks, driving tips, and possibly lower premiums based on safe driving habits. It enhances the standard coverage of a Comprehensive policy.",0.0035386382384724833,0.13688212927756654,0.030651340996168577,0.10646387832699619
How can you contact customer service for assistance?,"Based on the context provided, you can contact customer service for assistance in the following ways:

1. Call them on the phone: You can call their customer service hotline at 0800 051 0198 if you're in the UK or +44 (0) 141 349 0193 if you're outside the UK.
2. Write to them: If you prefer to write a letter, you can send it to Customer Relations Manager, Churchill Court, Westmoreland Road, Bromley BR1 1DP.
3. Call them for a specific issue: If you have Green Flag breakdown cover and your complaint is about your breakdown cover, please let them know when you get in touch.

Their staff will do everything they can to support you and aim to resolve most issues within three working days of receiving your complaint. If your complaint can't be resolved within three working days, they will provide you with regular updates until it's resolved. 

It's important to note that if your complaint relates to Section 7: Motor Legal Cover, you can refer your complaint to arbitration instead of going to the Financial Ombudsman Service. The arbitrator will be a solicitor or barrister or other suitably qualified person that you and the insurance company agree on. If you and the insurance company cannot agree, then you'll ask the Chartered Institute of Arbitrators to decide. The arbitrator's decision will be final, and whoever doesn't win will have to pay all costs and expenses. 

Overall, the insurance company is committed to providing excellent customer service and resolving any issues or complaints as quickly and efficiently as possible.","1
Safety comes first
Stop at the scene of the accident and if there 
are any injuries or if any driver involved hasn’t stopped, call the police and emergency services. 
2
Take photos of the accident if it’s safe to do so, including any vehicles involved
Remember that dash cam footage could be 
useful too.
3
Other driver/vehicle details
Ask the other party for their contact details. 
Take down their vehicle registration, name, address and telephone number and give the third party yours. Don’t accept blame for the accident. 
4
Witnesses
If any passers-by have stopped, you can ask 
for their contact details. These may be needed later for a statement if blame is being disputed. 
5
Call us
Giving us a call as soon as possible means 
you’ll have the details fresh in your mind and means we can help you and the third party sooner, get you back on the road as quickly as possible. 
Page 43If you’re in an accident Page 42If you have a complaint
How we can help 
If something’s not right, please call us on:
>0800 051 0198 if you’re in the UK.
>+44 (0) 141 349 0193 if you’re outside the UK. 
How to make a complaint
We understand that things don’t always go to 
plan and there may be times when you feel we’ve let you down. If this happens, we want you to tell us. We’ll do our best to put things right as soon as possible, or explain something we could have made clearer.
Please call us on 0800 051 0198 to speak to us 
about your problem. 
If you’d prefer to write to us, please send your 
letter to Customer Relations Manager, Churchill Court, Westmoreland Road, Bromley BR1 1DP.If you have Green Flag breakdown cover and your complaint is about your breakdown cover, please let us know when you get in touch. 
Our staff will do everything they can to support 
you. We’ll aim to resolve most issues within three working days of receiving your complaint.
If your complaint can’t be resolved within three","You can contact customer service for assistance through the phone number or email address provided in your policy documents. Customer service can help with policy inquiries, claims, and other support.",0.022881730653867293,0.1342281879194631,0.05405405405405405,0.10067114093959732
What is the procedure for adding a new driver to your policy?,"Based on the context provided, the procedure for adding a new driver to your car insurance policy is as follows:

1. Contact your insurance company: You need to contact your car insurance company as soon as possible to inform them that you want to add a new driver to your policy. You can contact them by phone, email, or mail, depending on the communication channels provided by your insurance company.
2. Provide the required information: Your insurance company will ask you to provide the necessary information about the new driver, such as their name, date of birth, driving license number, and driving experience.
3. Review the policy terms and conditions: Your insurance company will provide you with the updated policy terms and conditions, including the new driver's details, and ask you to review and confirm them.
4. Pay any additional premium: If adding a new driver to your policy results in an increase in your premium, your insurance company will inform you of the new premium amount and ask you to pay the difference.
5. Receive the updated policy documents: Once you have completed the above steps, your insurance company will send you the updated policy documents, including the new driver's details, and confirm that the new driver is covered under your policy.

It's important to note that adding a new driver to your car insurance policy may affect your premium, as the insurance company will assess the new driver's risk profile and driving history. Therefore, it's essential to provide accurate and complete information about the new driver to avoid any issues or disputes in case of a claim. 

Additionally, if you don't inform your insurance company about the new driver or any changes to your policy, it could invalidate your policy, increase your premium, or mean that the insurance company doesn't pay claims in full or at all. Therefore, it's crucial to keep your insurance company informed about any changes to your policy or personal circumstances.","Other conditions you need to know about
Following the policy terms
We’ll only provide the cover set out in this policy
if you keep to all the terms of the policy.
This includes Guaranteed Hire Car Plus or Motor 
Legal Cover if you have these covers.
Providing accurate information
You must ensure that all information given 
to us is correct and complete to the best of your knowledge at all times. This includes information about all drivers under the policy
or modifications to your car.
If you don’t provide correct and complete information or inform us of any changes, this could invalidate your policy, increase 
your premium or mean we don’t pay claims in full or at all. 
Taking care of your car
You and any person who is covered by this 
policy must do all of the following:
>Make sure your car is roadworthy.
>Take all reasonable steps to protect your car
and its contents from loss or damage.
>Make sure any property left in an open or >Start legal proceedings in your name, or in the name of any other person connected to this policy. This can be for your benefit or 
our own benefit.Telling us about changes
Before your cover starts
You must tell us if anything has changed since 
you received your quote. For example, you must tell us if:
>Anything about your car changes.
>You or any other driver have any claims 
or convictions that you haven’t already told us about.
>There are any changes to how your car is 
used, for example if you change from social, domestic and pleasure use to business use.
>There are any modifications made to 
your car (see ‘Modifications to your car’ on page 36).
>You want to add another driver to the policy, 
or make any other change to who can drive your car.
>You want to change to a higher level of cover, for example from Third Party, Fire and Theft to Comprehensive.
After your cover starts
You must tell us as soon as possible if:
>You change the address where your car is","To add a new driver to your policy, contact your insurance provider with the details of the new driver, including their driving history and personal information. The insurer will update your policy and adjust your premium if necessary.",0.028726435395124535,0.19839142091152814,0.09703504043126684,0.15549597855227884
How does the policy define 'your car'?,"Based on the context provided, the car insurance policy does not explicitly define the term ""your car"" in the text you provided. However, it is common for car insurance policies to define ""your car"" as the vehicle that is specified in the policy schedule. The policy schedule usually includes the make, model, registration number, and other details of the insured vehicle.

Therefore, it is essential to check the policy schedule and the policy documents for the specific definition of ""your car"" in your car insurance policy. If you are unsure about the meaning of any term or condition in your policy, you should contact your insurance company for clarification.

It's also important to note that some car insurance policies may have specific exclusions or limitations for certain types of vehicles or uses, such as high-performance cars, modified vehicles, or cars used for business purposes. Therefore, it's crucial to read and understand the policy terms and conditions carefully to ensure that your car is fully covered and that you are aware of any limitations or exclusions that may apply.","Your car insurance 
policy booklet Other conditions you need to know about
Following the policy terms
We’ll only provide the cover set out in this policy
if you keep to all the terms of the policy.
This includes Guaranteed Hire Car Plus or Motor 
Legal Cover if you have these covers.
Providing accurate information
You must ensure that all information given 
to us is correct and complete to the best of your knowledge at all times. This includes information about all drivers under the policy
or modifications to your car.
If you don’t provide correct and complete information or inform us of any changes, this could invalidate your policy, increase 
your premium or mean we don’t pay claims in full or at all. 
Taking care of your car
You and any person who is covered by this 
policy must do all of the following:
>Make sure your car is roadworthy.
>Take all reasonable steps to protect your car
and its contents from loss or damage.
>Make sure any property left in an open or","The policy defines 'your car' as the vehicle described in your certificate of motor insurance, including its standard accessories and any modifications declared to and accepted by the insurer.",0.008555883050562985,0.18095238095238095,0.07692307692307693,0.15238095238095237
